,area_type,total_sqft,bath,balcony,price,bhk
0,Super built-up  Area,1056.0,2.0,1.0,39.07,2.0
2,Built-up  Area,1440.0,2.0,3.0,62.0,3.0
3,Super built-up  Area,1521.0,3.0,1.0,95.0,3.0
4,Super built-up  Area,1200.0,2.0,1.0,51.0,2.0
5,Super built-up  Area,1170.0,2.0,1.0,38.0,2.0
8,Super built-up  Area,1310.0,3.0,1.0,63.25,3.0
10,Super built-up  Area,1800.0,2.0,2.0,70.0,3.0
12,Super built-up  Area,1000.0,2.0,1.0,38.0,2.0
13,Built-up  Area,1100.0,2.0,2.0,40.0,2.0
14,Plot  Area,2250.0,3.0,2.0,148.0,3.0
15,Super built-up  Area,1175.0,2.0,2.0,73.5,2.0
16,Super built-up  Area,1180.0,3.0,2.0,48.0,3.0
17,Super built-up  Area,1540.0,3.0,3.0,60.0,3.0
19,Super built-up  Area,1100.0,2.0,2.0,48.0,2.0
20,Built-up  Area,600.0,1.0,1.0,15.0,1.0
21,Super built-up  Area,1755.0,3.0,1.0,122.0,3.0
23,Super built-up  Area,1767.0,3.0,1.0,103.0,3.0
24,Super built-up  Area,510.0,1.0,0.0,25.25,1.0
25,Super built-up  Area,1250.0,3.0,2.0,56.0,3.0
26,Super built-up  Area,660.0,1.0,1.0,23.1,2.0
27,Built-up  Area,1610.0,3.0,2.0,81.0,3.0
28,Super built-up  Area,1151.0,2.0,2.0,48.77,2.0
29,Super built-up  Area,1025.0,2.0,1.0,47.0,3.0
31,Super built-up  Area,1075.0,2.0,1.0,35.0,3.0
32,Super built-up  Area,1760.0,2.0,2.0,123.0,3.0
33,Super built-up  Area,1693.0,3.0,3.0,57.39,3.0
35,Super built-up  Area,700.0,2.0,1.0,36.0,2.0
36,Super built-up  Area,1070.0,2.0,1.0,45.5,2.0
37,Super built-up  Area,1724.0,3.0,2.0,125.0,3.0
38,Super built-up  Area,1290.0,2.0,2.0,56.12,3.0
39,Built-up  Area,1143.0,2.0,2.0,45.0,2.0
41,Super built-up  Area,1254.0,3.0,2.0,38.0,3.0
42,Super built-up  Area,600.0,1.0,0.0,38.0,1.0
43,Plot  Area,660.0,1.0,0.0,48.0,1.0
44,Super built-up  Area,1330.74,2.0,2.0,91.79,2.0
46,Super built-up  Area,970.0,2.0,0.0,33.0,2.0
47,Super built-up  Area,1459.0,2.0,1.0,94.82,2.0
49,Built-up  Area,869.0,2.0,1.0,36.0,2.0
50,Super built-up  Area,1270.0,2.0,1.0,50.0,2.0
51,Super built-up  Area,1670.0,3.0,1.0,99.0,3.0
52,Built-up  Area,2010.0,3.0,2.0,91.0,3.0
53,Super built-up  Area,1185.0,2.0,2.0,75.0,2.0
54,Super built-up  Area,1600.0,2.0,3.0,75.0,3.0
55,Super built-up  Area,1200.0,2.0,2.0,44.0,2.0
59,Super built-up  Area,840.0,2.0,2.0,45.0,2.0
61,Super built-up  Area,845.0,2.0,1.0,55.0,2.0
63,Built-up  Area,1160.0,2.0,2.0,44.0,2.0
65,Super built-up  Area,1100.0,2.0,1.0,62.0,2.0
66,Super built-up  Area,1140.0,2.0,3.0,43.0,2.0
67,Super built-up  Area,1220.0,2.0,1.0,57.0,2.0
69,Super built-up  Area,1005.0,2.0,1.0,36.68,2.0
71,Super built-up  Area,1358.0,2.0,1.0,80.58,2.0
72,Super built-up  Area,1569.0,3.0,1.0,101.0,3.0
73,Super built-up  Area,1240.0,2.0,1.0,70.0,2.0
74,Super built-up  Area,2089.0,3.0,2.0,140.0,3.0
75,Super built-up  Area,1206.0,2.0,1.0,48.23,2.0
76,Super built-up  Area,1150.0,2.0,3.0,40.0,2.0
78,Built-up  Area,460.0,1.0,0.0,22.0,2.0
80,Super built-up  Area,1660.0,2.0,2.0,105.0,3.0
82,Super built-up  Area,1326.0,2.0,2.0,78.0,2.0
83,Super built-up  Area,1325.0,2.0,2.0,60.8,3.0
86,Super built-up  Area,1665.0,3.0,2.0,88.0,3.0
87,Super built-up  Area,708.0,2.0,2.0,37.0,2.0
88,Super built-up  Area,1060.0,2.0,2.0,58.06,2.0
90,Built-up  Area,1000.0,2.0,2.0,70.0,2.0
91,Super built-up  Area,1000.0,2.0,1.0,28.88,2.0
92,Super built-up  Area,1450.0,2.0,2.0,70.0,3.0
94,Super built-up  Area,1296.0,2.0,3.0,80.0,2.0
95,Super built-up  Area,1540.0,3.0,2.0,90.0,3.0
97,Super built-up  Area,1330.0,2.0,1.0,48.0,3.0
98,Built-up  Area,1200.0,2.0,1.0,65.0,2.0
99,Built-up  Area,1200.0,3.0,1.0,90.0,3.0
100,Super built-up  Area,2502.0,3.0,3.0,138.0,3.0
101,Built-up  Area,650.0,1.0,1.0,17.0,2.0
102,Plot  Area,2400.0,2.0,1.0,150.0,3.0
103,Super built-up  Area,1007.0,2.0,2.0,43.0,2.0
104,Super built-up  Area,1200.0,2.0,2.0,50.0,2.0
105,Super built-up  Area,966.0,2.0,2.0,49.9,2.0
106,Built-up  Area,1630.0,2.0,1.0,98.0,3.0
108,Built-up  Area,782.0,2.0,2.0,55.68,2.0
109,Super built-up  Area,1260.0,2.0,2.0,66.78,2.0
110,Super built-up  Area,1800.0,3.0,3.0,120.0,3.0
111,Super built-up  Area,1413.0,2.0,2.0,75.0,3.0
112,Super built-up  Area,1116.0,2.0,1.0,51.91,2.0
113,Super built-up  Area,1530.0,2.0,1.0,45.9,3.0
115,Built-up  Area,2497.0,3.0,2.0,140.0,3.0
116,Super built-up  Area,1540.0,2.0,3.0,64.0,3.0
117,Super built-up  Area,1436.0,3.0,1.0,74.75,3.0
118,Super built-up  Area,1100.0,2.0,2.0,75.0,2.0
119,Plot  Area,276.0,3.0,3.0,23.0,2.0
120,Super built-up  Area,1427.0,3.0,2.0,120.0,3.0
124,Super built-up  Area,1282.0,2.0,2.0,68.52,3.0
125,Built-up  Area,1050.0,2.0,1.0,34.0,2.0
126,Built-up  Area,1600.0,3.0,2.0,65.0,3.0
127,Super built-up  Area,945.0,2.0,1.0,54.0,2.0
128,Super built-up  Area,1500.0,2.0,1.0,78.0,2.0
130,Built-up  Area,1870.0,3.0,3.0,110.0,3.0
131,Plot  Area,1600.0,3.0,1.0,75.0,3.0
132,Super built-up  Area,880.0,1.0,1.0,16.5,2.0
134,Super built-up  Area,1535.0,3.0,2.0,83.0,3.0
135,Built-up  Area,950.0,2.0,1.0,57.0,2.0
136,Super built-up  Area,1360.0,2.0,1.0,65.0,2.0
137,Super built-up  Area,1073.5,2.0,0.0,54.005,2.0
138,Super built-up  Area,1280.0,3.0,1.0,50.4,3.0
139,Super built-up  Area,1260.0,2.0,2.0,85.05,3.0
142,Super built-up  Area,1563.05,3.0,1.0,105.0,3.0
143,Super built-up  Area,1000.0,2.0,1.0,60.0,2.0
144,Super built-up  Area,1167.0,2.0,1.0,43.76,2.0
147,Super built-up  Area,890.0,2.0,1.0,35.0,2.0
148,Super built-up  Area,1612.0,3.0,3.0,46.74,3.0
150,Super built-up  Area,1710.0,4.0,2.0,91.31,3.0
151,Super built-up  Area,957.0,2.0,1.0,58.0,2.0
152,Super built-up  Area,1250.0,2.0,3.0,44.0,3.0
154,Super built-up  Area,1125.0,2.0,2.0,50.0,2.0
155,Super built-up  Area,1020.0,2.0,1.0,30.6,2.0
157,Super built-up  Area,1735.0,3.0,3.0,135.0,3.0
158,Super built-up  Area,2050.0,3.0,1.0,145.0,3.0
160,Built-up  Area,1350.0,2.0,3.0,48.0,3.0
161,Super built-up  Area,1063.0,2.0,1.0,32.0,2.0
162,Super built-up  Area,1904.0,3.0,1.0,150.0,3.0
165,Super built-up  Area,1242.5,2.0,0.0,43.49,2.0
166,Super built-up  Area,1425.0,2.0,2.0,75.0,3.0
167,Super built-up  Area,1500.0,2.0,1.0,64.5,3.0
168,Built-up  Area,1060.0,2.0,1.0,60.0,2.0
169,Built-up  Area,1470.0,2.0,2.0,70.0,3.0
171,Super built-up  Area,450.0,1.0,1.0,11.0,1.0
172,Super built-up  Area,1152.0,2.0,1.0,64.5,2.0
173,Super built-up  Area,1350.0,2.0,1.0,56.0,3.0
174,Super built-up  Area,1550.0,3.0,3.0,65.0,3.0
